nom_subestacao,val_latitude,val_longitude,eh_gerador
PAPAGAIO,-2.8843,-39.9949,0
PECEM II,-3.5955,-38.8768,0
PECEM II,-3.5955,-38.8768,0
PICI II,-3.7444,-38.5833,0
PICI II,-3.7444,-38.5833,0
PICI II,-3.7444,-38.5833,0
PICI II,-3.7444,-38.5833,0
PICI II,-3.7444,-38.5833,0
PICI II,-3.7444,-38.5833,0
PITOMBEIRA,-4.6054,-37.6474,0
PORTO PECEM I,-3.5524,-38.8085,0
PORTO PECEM I,-3.5524,-38.8085,0
PORTO PECEM II,-3.5918,-38.8661,0
PRAIA FORMOS SE,-2.9187,-41.0313,0
QUIXADA,-4.9538,-38.9287,0
QUIXERE,-5.0346,-37.7855,0
RUSSAS II,-4.9492,-37.9953,0
RUSSAS II,-4.9492,-37.9953,0
SANTO INACIO,-4.7869,-37.306,0
SOBRAL II,-3.6997,-40.3823,0
SOBRAL II,-3.6997,-40.3823,0
SOBRAL III,-3.6914,-40.2985,0
SOBRAL III,-3.6914,-40.2985,0
TAUA II,-6.0012,-40.2756,0
TAUA II,-6.0012,-40.2756,0
TIANGUA II,-3.7714,-41.0287,0
TIANGUA II,-3.7714,-41.0287,0
UT.MARACANAU1,-3.8608,-38.5572,0
UT.TERMOCEARA,-3.6925,-38.8717,0
UT.TERMOCEARA,-3.6925,-38.8717,0
C.GRANDE II,-7.2659,-35.9088,0
C.GRANDE II,-7.2659,-35.9088,0
C.GRANDE II,-7.2659,-35.9088,0
C.GRANDE III,-7.2533,-35.9803,0
C.GRANDE III,-7.2533,-35.9803,0
COREMAS,-7.0162,-37.9554,0
COREMAS,-7.0162,-37.9554,0
COTEMINAS,-7.2801,-35.8957,0
EPASA,-7.208,-34.9213,0
JOAO PESSOA II,-7.2191,-34.927,0
JOAO PESSOA II,-7.2191,-34.927,0
JOAO PESSOA II,-7.2191,-34.927,0
MUSSURE II,-7.182,-34.8937,0
MUSSURE II,-7.182,-34.8937,0
NORFIL,-7.1959,-34.9003,0
RIACHAO II,-6.517,-35.6331,0
RIO ALTO,-6.9661,-37.9892,0
SANTA LUZIA II,-6.9117,-36.9836,0
SANTA LUZIA II,-6.9117,-36.9836,0
SANTA RITA II,-7.1555,-35.0096,0
SANTA RITA II,-7.1555,-35.0096,0
SUB LUZIA,-6.8408,-36.9329,0
TERMONORDESTE,-7.1614,-34.8603,0
TERMOPARAIBA,-7.2096,-34.923,0
UT.CAM.GRANDE,-7.2307,-35.89,0
ALDEIA,-7.8601,-35.018,0
ANGELIM,-8.8938,-36.2944,0
ANGELIM,-8.8938,-36.2944,0
ANGELIM II,-8.8963,-36.2971,0
ANGELIM II,-8.8963,-36.2971,0
ANGELIM II,-8.8963,-36.2971,0
ARCOVERDE II,-8.4987,-37.0041,0
ARCOVERDE II,-8.4987,-37.0041,0
BOM NOME,-7.9974,-38.6275,0
BOM NOME,-7.9974,-38.6275,0
BOM NOME,-7.9974,-38.6275,0
BONGI,-8.0637,-34.9281,0
BONGI,-8.0637,-34.9281,0
CAETES II,-8.8433,-36.7601,0
CAM. MURICY II,-7.8604,-35.0167,0
