id_subsistema;nom_subsistema;id_estado;nom_estado;nom_agente_principal;id_subestacao;nom_subestacao;val_niveltensao;id_estacao;num_barra;val_latitude;val_longitude
N;Norte;MA;Maranhão;ELETRONORTE;MALI;SAO LUIS I;69.0;MALI--0A;5563;-2.5606;-44.2558
N;Norte;MA;Maranhão;ELETRONORTE;MALI;SAO LUIS I;230.0;MALI--2A;5561;-2.5606;-44.2558
N;Norte;MA;Maranhão;ELETRONORTE;MALD;SAO LUIS II;230.0;MALD--2A;5551;-2.7172;-44.3172
N;Norte;MA;Maranhão;ELETRONORTE;MALD;SAO LUIS II;500.0;MALD--5A;5550;-2.7172;-44.3172
N;Norte;MA;Maranhão;ELETRONORTE;MALT;SAO LUIS III;69.0;MALT--0A;5693;-2.5171;-44.1715
N;Norte;MA;Maranhão;ELETRONORTE;MALT;SAO LUIS III;230.0;MALT--2A;5691;-2.5171;-44.1715
N;Norte;MA;Maranhão;HORIZON MA I;MALQ;SAO LUIS IV;69.0;MALQ--0C;5578;-2.7172;-44.3171
N;Norte;MA;Maranhão;HORIZON MA I;MALQ;SAO LUIS IV;230.0;MALQ--2A;5689;-2.7172;-44.3171
N;Norte;MA;Maranhão;HORIZON MA I;MALQ;SAO LUIS IV;500.0;MALQ--5A;5688;-2.7172;-44.3171
N;Norte;MA;Maranhão;TANGARÁ;MASLT;STA LUZIA III;138.0;MASLT-1A;44642;-3.9995;-45.7048
N;Norte;MA;Maranhão;TANGARÁ;MASLT;STA LUZIA III;230.0;MASLT-2A;44641;-3.9995;-45.7048
N;Norte;MA;Maranhão;TANGARÁ;MASLT;STA LUZIA III;500.0;MASLT-5A;44640;-3.9995;-45.7048
N;Norte;MA;Maranhão;PARNAÍBA II;MAUTNV;U.NV.VENECIA2;500.0;MAUTNV5A;93853;-4.8650;-44.3506
N;Norte;MA;Maranhão;PARNAÍBA II;MAUTNV;U.NV.VENECIA2;500.0;MAUTNV5B;96178;-4.8650;-44.3506
N;Norte;MA;Maranhão;PARNAÍBA II;MAUTM3;UT.MARANHAO 3;500.0;MAUTM35A;93971;-4.8221;-44.3547
N;Norte;MA;Maranhão;PARNAÍBA II;MAUTM3;UT.MARANHAO 3;500.0;MAUTM35C;93973;-4.8221;-44.3547
N;Norte;MA;Maranhão;PARNAÍBA II;MAUTM3;UT.MARANHAO 3;500.0;MAUTM35B;93972;-4.8221;-44.3547
N;Norte;MA;Maranhão;PARNAÍBA G C;MAUTM4;UT.MARANHAO 4;500.0;MAUTM45A;93608;-26.2875;-48.8785
N;Norte;MA;Maranhão;PARNAÍBA G C;MAUTM4;UT.MARANHAO 4;500.0;MAUTM45B;93645;-26.2875;-48.8785
N;Norte;MA;Maranhão;PARNAÍBA G C;MAUTM5;UT.MARANHAO 5;500.0;MAUTM55A;93402;-19.7540;-40.3765
N;Norte;MA;Maranhão;PARNAÍBA G C;MAUTM5;UT.MARANHAO 5;500.0;MAUTM55B;93403;-19.7540;-40.3765
